,,,Skyline - Lease Comparables Export,,,,"Generated: February 25, 2026",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tenant Name,Building Name,Building Address,Submarket,Lease Type,Size Sf,Execution Date,Lease Start Date,Lease Term,Base Rate,Opex,Full Service Rate,Escalation Value,Escalation Type,Free Months,Free Rent Type,Ti Allowance,Net Effective Base Rate,Comments,Lease End Date,Is Deleted,Deleted At,Deleted By User Id,Unit,Property Type,Floors,Financial Type,Comp Source,Ad Number,Electrical And Janitorial,Image Url,Address Building Park,Address Street2,Address City,Address State,Address Zipcode,Micromarket,Latitude,Longitude,Building Status,Building Class,Stories,Net Rentable S F,Typical Floor Size,Parking Ratio,Zoning,Number Of Units,Description,Land Sf,Land Only,Buildable Sf,Subtype,Landlord Broker Name,Landlord Brokerage Name,Tenant Broker Name,Tenant Brokerage Name
Percepto Inc,Prominent Pointe I,8310 N Capital Of Texas Hwy,Northwest,Expansion,5228,12/24/2024,"December 24, 2024",82,36,18.24,54.23,1,Flat,12,Gross,5,30,,"October 23, 2031",FALSE,,,"150, 170",Office,,Gross,Aquila Lease,,,https://aquila-dev.storage.googleapis.com/properties/96a614a9-60ed-43dc-9f82-b0836ae04b26_PrimaryPhoto (21).jpg,Prominent Pointe,,Austin,TX,78731,,30.38626,-97.76863,Existing,A,4,151092,37773,3.7,LO,,,471319,,,BUILDING,Max McDonald,AQUILA Commercial,,
"McMordie & Company, CPAs",9500 Arboretum,9500 Arboretum Blvd,Northwest,Renewal,1846,7/26/2023,"August 1, 2023",39,30,17.3,47.3,3,Amount,3,Base,,31.15,,"October 31, 2026",FALSE,,,370,Office,,NNN,Aquila Lease,23-136,,https://aquila-dev.storage.googleapis.com/properties/d49d2769-da73-4f39-a44a-da784c41953f_9500 arb.jpg,,,Austin,TX,78759,,30.39065,-97.75288,Existing,A,6,182311,31230,4,,,,252648,,,BUILDING,Max McDonald,AQUILA Commercial,Gail Whitfield,"Whitfield Company, The"
Resource Consulting Group,The Campus at Arboretum 1,10415 Morado Cir,Northwest,Renewal,2210,8/21/2025,"April 1, 2026",67,30,16.9,,2.5,Percent,7,,,28.65483568,,"November 1, 2031",FALSE,,,Suite 150,Office,,NNN,,,,https://aquila-dev.storage.googleapis.com/properties/1d230e71-053c-4f70-a662-cae7c722cd62_PrimaryPhoto (1).jpg,The Campus at Arboretum,,Austin,TX,78759,,30.40107,-97.74958,Existing,A,3,58041,18577,3.6,,,,131116,,,BUILDING,,AQUILA Commercial,,
"Trunk Tools, Inc",Perry Brooks Tower,720 Brazos St,CBD,Expansion,4159,8/12/2025,"September 1, 2025",12,31,21.22,,,,,,,31,Expansion - backed out existing obligation from new lease obligation.,"September 1, 2026",FALSE,,,Suite 210,Office,,NNN,AquilaLease,,,https://aquila-dev.storage.googleapis.com/properties/1c06d631-2a69-4546-b8d8-817dc1c1354e_PrimaryPhoto (5).jpg,,,Austin,TX,78701,,30.26945,-97.74107,Existing,B,12,136585,11382,2.75,CBD,,,18731,,,BUILDING,,AQUILA Commercial,,N/A
Quick Technologies,Braker Pointe II,10801 MoPac Expy N,Northwest,Renewal,1123,7/9/2025,"December 1, 2025",66,29.5,16.8,46.3,3,Percent,6,Base,6,27.81250891,,"May 31, 2031",FALSE,,,Suite 145,Office,,NNN,AquilaLease,,,https://aquila-dev.storage.googleapis.com/properties/4cfef261-6336-4c1b-a323-fff1dadad1e8_braker pointe 2.jpg,Braker Pointe,,Austin,TX,78759,,30.39805,-97.73025,Existing,A,4,106543,26635,4,CS,,,345431,,,BUILDING,,AQUILA Commercial,,N/A
JAE Law Group,Hartland Plaza,1717 W 6th St,Central,Renewal,2351,11/25/2025,"November 1, 2026",92,45,23.69,,3,Percent,8,,10,44.5704801,Will get you stacking updates!,"July 1, 2034",FALSE,,,Suite 262,Office,,NNN,,,,https://aquila-dev.storage.googleapis.com/properties/70fc2e1d-55d9-4b68-8a36-db06bdf7b755_Hartland Plaza.jpg,Hartland Plaza,,Austin,TX,78703,WestCentral,30.27581,-97.76514,Existing,A,4,167303,42536,0,PUD,,,147668,,,BUILDING,,AQUILA Commercial,,
Cullen Jewelry,The Gallery on 15ht,502 W 15th St,CBD,,2663,9/1/2025,1-Oct,63,,,,3,{ercent,3,Base,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
